CustomerID,Age,Gender,TenureYears,MonthlyCharges,TotalCharges,ContractType,InternetService,PaymentMethod,SeniorCitizen,SupportCalls,StreamingService,PaperlessBilling,Churn
CUST00001,56.0,Female,0,20.41,131.92,One year,DSL,Bank transfer,No,3,No,Yes,Yes
CUST00002,69.0,Male,9,21.12,394.45,Two year,DSL,Credit card,Yes,1,Yes,No,No
CUST00003,46.0,Female,3,61.66,2755.45,Two year,DSL,Bank transfer,No,3,Yes,No,No
CUST00004,32.0,Male,8,35.53,796.58,Month-to-month,No,Credit card,No,2,No,No,No
CUST00005,60.0,Male,9,86.45,10188.8,Two year,Fiber optic,Electronic check,Yes,3,No,Yes,Yes
CUST00006,56.0,Female,0,20.41,131.92,One year,DSL,Bank transfer,No,3,No,Yes,Yes
CUST00007,69.0,Male,9,21.12,394.45,Two year,DSL,Credit card,Yes,1,Yes,No,No
CUST00008,46.0,Female,3,61.66,2755.45,Two year,DSL,Bank transfer,No,3,Yes,No,No
CUST00009,32.0,Male,8,35.53,796.58,Month-to-month,No,Credit card,No,2,No,No,No
CUST00010,60.0,Male,9,86.45,10188.8,Two year,Fiber optic,Electronic check,Yes,3,No,Yes,Yes
CUST00011,56.0,Female,0,20.41,131.92,One year,DSL,Bank transfer,No,3,No,Yes,Yes
CUST00012,69.0,Male,9,21.12,394.45,Two year,DSL,Credit card,Yes,1,Yes,No,No
CUST00013,46.0,Female,3,61.66,2755.45,Two year,DSL,Bank transfer,No,3,Yes,No,No
CUST00014,32.0,Male,8,35.53,796.58,Month-to-month,No,Credit card,No,2,No,No,No
CUST00015,60.0,Male,9,86.45,10188.8,Two year,Fiber optic,Electronic check,Yes,3,No,Yes,Yes
CUST00016,56.0,Female,0,20.41,131.92,One year,DSL,Bank transfer,No,3,No,Yes,Yes
CUST00017,69.0,Male,9,21.12,394.45,Two year,DSL,Credit card,Yes,1,Yes,No,No
CUST00018,46.0,Female,3,61.66,2755.45,Two year,DSL,Bank transfer,No,3,Yes,No,No
CUST00019,32.0,Male,8,35.53,796.58,Month-to-month,No,Credit card,No,2,No,No,No
CUST00020,60.0,Male,9,86.45,10188.8,Two year,Fiber optic,Electronic check,Yes,3,No,Yes,Yes
CUST00021,56.0,Female,0,20.41,131.92,One year,DSL,Bank transfer,No,3,No,Yes,Yes
CUST00022,69.0,Male,9,21.12,394.45,Two year,DSL,Credit card,Yes,1,Yes,No,No
CUST00023,46.0,Female,3,61.66,2755.45,Two year,DSL,Bank transfer,No,3,Yes,No,No
CUST00024,32.0,Male,8,35.53,796.58,Month-to-month,No,Credit card,No,2,No,No,No
CUST00025,60.0,Male,9,86.45,10188.8,Two year,Fiber optic,Electronic check,Yes,3,No,Yes,Yes
CUST00026,56.0,Female,0,20.41,131.92,One year,DSL,Bank transfer,No,3,No,Yes,Yes
CUST00027,69.0,Male,9,21.12,394.45,Two year,DSL,Credit card,Yes,1,Yes,No,No
CUST00028,46.0,Female,3,61.66,2755.45,Two year,DSL,Bank transfer,No,3,Yes,No,No
CUST00029,32.0,Male,8,35.53,796.58,Month-to-month,No,Credit card,No,2,No,No,No
CUST00030,60.0,Male,9,86.45,10188.8,Two year,Fiber optic,Electronic check,Yes,3,No,Yes,Yes
CUST00031,56.0,Female,0,20.41,131.92,One year,DSL,Bank transfer,No,3,No,Yes,Yes
CUST00032,69.0,Male,9,21.12,394.45,Two year,DSL,Credit card,Yes,1,Yes,No,No
CUST00033,46.0,Female,3,61.66,2755.45,Two year,DSL,Bank transfer,No,3,Yes,No,No
CUST00034,32.0,Male,8,35.53,796.58,Month-to-month,No,Credit card,No,2,No,No,No
CUST00035,60.0,Male,9,86.45,10188.8,Two year,Fiber optic,Electronic check,Yes,3,No,Yes,Yes
CUST00036,56.0,Female,0,20.41,131.92,One year,DSL,Bank transfer,No,3,No,Yes,Yes
